"","Beds for mental health in general hospitals (per 100 000 population)","Beds for mental health in general hospitals (per 100 000 population)","Beds for mental health in general hospitals (per 100 000 population)","Beds for mental health in general hospitals (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in community residential facilities (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)","Beds in mental hospitals (per 100 000 population)"
"Country"," 2017"," 2016"," 2015"," 2013"," 2017"," 2016"," 2015"," 2014"," 2013"," 2017"," 2016"," 2015"," 2014"," 2013"
"Afghanistan","","0.296","","","","","","","","","0.296","","",""
"Albania","","4.276","","","","4.584","","","","","16.762","","",""
"Algeria","","1.507","","","","","","","","","10.456","","",""
"Angola","","0.187","","","","0.337","","","","","0.585","","",""
"Antigua and Barbuda","","","","","","","","","","","136.105","","",""
"Argentina","","2.718","","","","","","","","","40.566","","",""
"Armenia","","1.714","","","","","","","","","","","",""
"Australia","","","21.761","","","","10.383","","","","","7.214","",""
"Austria","","","19.485","","","","59.664","","","","","26.087","",""
"Azerbaijan","","0.416","","","","2.911","","","","","31.193","","",""
"Bahamas","","","3.102","","","","","","","","","97.457","",""
"Bahrain","","","","","1.093","","","","","19.317","","","",""
"Bangladesh","","0.315","","","","2.236","","","","","0.434","","",""
"Barbados","","","4.222","","","","17.592","","","","","184.014","",""
"Belarus","","3.215","","","","","","","","","57.349","","",""
"Belgium","","","","22.706","","","","","65.362","","","","","98.884"
"Belize","","4.453","","","","11.690","","","","","","","",""
"Bhutan","","1.270","","","","","","","","","","","",""
"Bosnia and Herzegovina","","","23.360","","","","","","","","","13.744","",""
"Botswana","3.485","","","","","","","","","13.580","","","",""
"Brazil","","0.565","","","","1.967","","","","","9.792","","",""
"Brunei Darussalam","","8.382","","","","2.874","","","","","0.000","","",""
"Bulgaria","","13.807","","","","13.933","","","","","33.201","","",""
"Burkina Faso","","0.668","","","","","","","","","0.000","","",""
"Burundi","","","","","","","","","","1.382","","","",""
"Cabo Verde","10.133","","","","","","","","","","","","",""
"Cambodia","","0.032","","","","","","","","","","","",""
"Canada","14.497","","","","","","","","","11.092","","","",""
"Central African Republic","0.528","","","","","","","","","","","","",""
"Chad","","0.014","","","","","","","","","","","",""
"Chile","","5.241","","","","10.055","","","","","3.125","","",""
"China","","","","","","","","","","","","24.288","",""
"Colombia","","0.000","","","","","","","","","","","",""
"Comoros","0.772","","","","","","","","","","","","",""
"Congo","","1.001","","","","","","","","","","","",""
"Cook Islands","","","","","","11.462","","","","","","","",""
"Costa Rica","","0.790","","","","1.872","","","","","16.743","","",""
"Côte d'Ivoire","","","","","","0.000","","","","","","","",""
"Croatia","","16.501","","","","","","","","","75.354","","",""
"Cuba","","42.691","","","","","","","","","43.223","","",""
"Cyprus","","","3.445","","","","","","","","","11.370","",""
"Czechia","","","12.335","","","","","","","","","80.943","",""
"Denmark","","","","","","","","","","","51.594","","",""
"Dominican Republic","","0.541","","","","","","","","","","","",""
"Ecuador","","","","","","","","","","","0.811","","",""
"Egypt","","0.038","","","","","","","","","7.038","","",""
"El Salvador","","0.253","","","","","","","","","5.687","","",""
"Equatorial Guinea","","","","","","","","","","19.398","","","",""
"Eritrea","","0.413","","","","","","","","","4.126","","",""
"Estonia","","58.444","","","","20.444","","","","","8.740","","",""
"Eswatini","","","","","","","","","","14.556","","","",""
"Ethiopia","","","","","","","","","","0.975","","","",""
"Fiji","","2.354","","","","","","","","","11.209","","",""
"Finland","47.702","","","","79.132","","","","","","","","",""
"France","22.340","","","","92.154","","","","","6.981","","","",""
"Gabon","","","","","","","","","","","6.217","","",""
"Georgia","","2.531","","","","","","","","","36.720","","",""
"Germany","","","80.640","","","","59.581","","","","","55.697","",""
"Ghana","","3.285","","","","0.145","","","","","2.900","","",""
"Greece","","5.696","","","","14.780","","","","","10.653","","",""
"Grenada","","18.723","","","","","","","","","74.890","","",""
"Guatemala","","0.111","","","","0.234","","","","","2.129","","",""
"Guinea","","0.513","","","","","","","","","","","",""
"Guinea-Bissau","","","","","","","","","","","2.033","","",""
"Guyana","","0.781","","","","","","","","","20.039","","",""
"Haiti","","0.037","","","","","","","","","1.951","","",""
"Honduras","","","","","","","","0.112","","","","","1.228",""
"Hungary","","85.671","","","","","","","","","","","",""
"Iceland","","32.703","","","","","","","","","18.168","","",""
"India","","0.560","","","","5.178","","","","","1.426","","",""
"Iran (Islamic Republic of)","4.662","","","","15.348","","","","","8.487","","","",""
"Iraq","1.013","","","","","","","","","3.494","","","",""
"Ireland","","21.659","","","","","","","","","21.659","","",""
"Israel","","4.179","","","","161.398","","","","","35.228","","",""
"Italy","","","8.957","","","","33.611","","","","","","",""
"Jamaica","","","1.671","","","","","","","","","27.856","",""
"Japan","","66.147","","","","","","","","","196.625","","",""
"Jordan","","0.415","","","","","","","","","6.649","","",""
"Kenya","","1.059","","","","","","","","","1.482","","",""
"Kiribati","","","","","","","","","","","","35.585","",""
"Kyrgyzstan","","1.603","","","","","","","","","27.705","","",""
"Latvia","","","","","","","","","","","","102.526","",""
"Lebanon","","","1.453","","","","1.624","","","","","27.514","",""
"Liberia","","0.333","","","","0.444","","","","","1.600","","",""
"Lithuania","","49.592","","","","","","","","","40.178","","",""
"Luxembourg","","","32.290","","","","42.347","","","","","39.701","",""
"Madagascar","","0.466","","","","0.103","","","","","0.854","","",""
"Malaysia","","","","","","","","","","","11.054","","",""
"Maldives","0.956","","","","41.826","","","","","","","","",""
"Mali","","0.315","","","","","","","","","","","",""
"Mauritania","","","","0.335","","","","","","","","","",""
"Mauritius","1.429","","","","","","","","","53.356","","","",""
"Mexico","","0.027","","","","0.255","","","","","3.060","","",""
"Monaco","","148.798","","","","","","","","","","","",""
"Mongolia","","3.258","","","","","","","","","18.476","","",""
"Montenegro","","4.298","","","","","","","","","46.484","","",""
"Morocco","","2.054","","","","","","","","","4.175","","",""
"Mozambique","","1.978","","","","","","","","","0.439","","",""
"Myanmar","","0.555","","","","","","","","","2.672","","",""
"Namibia","","12.657","","","","0.495","","","","","","","",""
"Nepal","","1.183","","","","","","","","","0.576","","",""
"New Zealand","","18.788","","","","26.243","","","","","","","",""
"Nicaragua","0.164","","","","0.280","","","","","3.173","","","",""
"Niger","","0.521","","","","","","","","","","","",""
"Norway","","","","","","","","","","","74.329","","",""
"Pakistan","","3.274","","","","2.989","","","","","2.472","","",""
"Panama","","5.996","","","","","","","","","3.779","","",""
"Paraguay","","0.241","","","","0.874","","","","","5.106","","",""
"Peru","","0.405","","","","0.172","","","","","3.197","","",""
"Philippines","","1.324","","","","2.045","","","","","4.129","","",""
"Poland","","15.583","","","","","","","","","30.466","","",""
"Portugal","","11.825","","","","6.344","","","","","5.701","","",""
"Qatar","","0.458","","","","0.573","","","","","2.483","","",""
"Republic of Korea","","11.156","","","","4.850","","","","","94.217","","",""
"Republic of Moldova","","","0.861","","","","","","","","","35.539","",""
"North Macedonia","9.619","","","","","","","","","48.093","","","",""
"Romania","","55.045","","","","","","","","","82.469","","",""
"Russian Federation","","","","","","","","","","","","93.029","",""
"Rwanda","","0.344","","","","","","","","","3.440","","",""
"Saint Lucia","","","","","","","","","","","54.739","","",""
"Saint Vincent and the Grenadines","","","","","","","","","","164.451","","","",""
"Samoa","","5.161","","","","4.645","","","","","5.161","","",""
"Sao Tome and Principe","","16.364","","","","","","","","","","","",""
"Saudi Arabia","","0.317","","","","0.634","","","","","17.115","","",""
"Senegal","","0.581","","","","0.908","","","","","0.935","","",""
"Serbia","18.325","","","","","","","","","41.406","","","",""
"Seychelles","","","","","","","","","","","42.670","","",""
"Sierra Leone","","","","","","","","","","3.454","","","",""
"Singapore","","1.228","","","","6.431","","","","","34.867","","",""
"Slovenia","","9.543","","","","84.153","","","","","57.114","","",""
"Somalia","","","","","","","","","","0.503","","","",""
"South Africa","","4.330","","","","","","","","","16.556","","",""
"South Sudan","","0.101","","","","","","","","","","","",""
"Spain","","","14.307","","","","","","","","","28.148","",""
"Sri Lanka","3.959","","","","1.332","","","","","4.968","","","",""
"Sudan","","","","","","","","","","","","0.812","",""
"Sweden","","","","","","","","","","","31.095","","",""
"Switzerland","","","13.810","","","","74.113","","","","","75.603","",""
"Syrian Arab Republic","","0.267","","","","","","","","","5.338","","",""
"Tajikistan","","6.551","","","","","","","","","10.294","","",""
"Thailand","","0.377","","","","","","","","","6.464","","",""
"Timor-Leste","","","","","","1.934","","","","","","","",""
"Togo","","0.404","","","","0.270","","","","","1.618","","",""
"Tonga","","24.444","","","","","","","","","","","",""
